[13, 54, 0, 6, 4, 15]
[9, 23, 0, 5, 3, 8]
[9, 30, 2, 4, 2, 7]
[3, 5, 0, 3, 0, 2]
[17, 99, 1, 3, 3, 6]
[9, 21, 0, 5, 2, 11]
[2, 2, 0, 1, 0, 2]
[2, 2, 0, 1, 0, 2]
[11, 38, 2, 3, 3, 7]
[9, 30, 0, 3, 2, 5]
[18, 111, 6, 4, 4, 18]
[13, 54, 0, 6, 4, 15]
[9, 23, 0, 5, 3, 8]
[14, 43, 0, 2, 1, 6]
[2, 3, 0, 3, 0, 8]
[4, 8, 0, 4, 1, 27]
[5, 14, 0, 4, 2, 16]
[2, 2, 0, 1, 0, 11]
[9, 21, 0, 5, 2, 11]
[3, 3, 0, 3, 0, 12]
[7, 12, 0, 4, 1, 19]
[6, 15, 0, 4, 2, 8]
[3, 5, 0, 3, 0, 17]
[2, 3, 0, 3, 0, 5]
[2, 3, 0, 3, 0, 30]
[3, 5, 0, 3, 0, 4]
[3, 3, 0, 3, 0, 19]
[3, 3, 0, 3, 0, 24]
[3, 5, 0, 3, 0, 7]
[67, 1443, 13, 7, 8, 12]
[3, 5, 0, 3, 0, 7]
[15, 101, 0, 3, 3, 7]
[62, 1299, 1, 5, 6, 20]
[3, 5, 0, 3, 0, 6]
[5, 10, 0, 4, 1, 15]
[23, 123, 0, 6, 6, 8]
[5, 7, 2, 3, 2, 5]
[6, 17, 1, 2, 2, 7]
[2, 2, 0, 1, 0, 3]
[3, 5, 0, 1, 0, 2]
[8, 22, 0, 4, 3, 5]
[2, 4, 0, 1, 0, 5]
[7, 26, 0, 2, 2, 11]
[5, 9, 0, 4, 1, 9]
[4, 7, 0, 3, 1, 9]
[6, 14, 0, 3, 2, 21]
[12, 44, 0, 4, 2, 18]
[19, 188, 5, 4, 4, 9]
[2, 3, 0, 3, 0, 4]
[2, 3, 0, 3, 0, 18]
[5, 16, 0, 3, 1, 4]
[4, 6, 0, 4, 1, 6]
[5, 9, 0, 4, 1, 12]
[2, 3, 0, 3, 0, 7]
[5, 16, 0, 3, 1, 4]
[2, 3, 0, 3, 0, 4]
[7, 12, 0, 3, 1, 5]
[7, 20, 0, 3, 2, 5]
[2, 3, 0, 3, 0, 14]
[3, 5, 0, 3, 0, 6]
[2, 3, 0, 3, 0, 7]
[31, 373, 0, 4, 4, 15]
[12, 58, 0, 4, 3, 12]
[10, 37, 0, 5, 2, 11]
[2, 3, 0, 3, 0, 7]
[7, 15, 0, 4, 2, 9]
[2, 3, 0, 3, 0, 7]
[4, 6, 0, 4, 1, 8]
[7, 24, 0, 3, 2, 31]
[23, 111, 1, 3, 2, 13]
[4, 10, 0, 2, 1, 17]
[11, 28, 0, 4, 2, 12]
[7, 12, 0, 3, 1, 12]
[6, 15, 0, 4, 3, 42]
[3, 5, 0, 3, 0, 12]
[6, 10, 0, 4, 1, 22]
[9, 18, 0, 4, 2, 18]
[3, 3, 0, 3, 0, 7]
[6, 15, 0, 5, 1, 8]
[5, 14, 0, 4, 2, 10]
[5, 10, 0, 4, 2, 4]
[10, 33, 0, 5, 2, 6]
[21, 165, 0, 4, 4, 7]
[3, 5, 0, 3, 0, 6]
[5, 9, 0, 4, 1, 10]
[9, 20, 0, 4, 2, 8]
[27, 209, 2, 4, 3, 7]
[15, 61, 2, 3, 3, 9]
[31, 89, 0, 49, 4, 14]
[15, 53, 0, 4, 3, 8]
[4, 6, 0, 4, 1, 3]
[5, 6, 0, 4, 1, 8]
[1, 1, 0, 1, 0, 1]
[8, 27, 0, 4, 3, 4]
[13, 65, 0, 3, 3, 9]
[5, 10, 0, 4, 1, 11]
[20, 112, 0, 5, 4, 10]
[2, 4, 0, 1, 0, 1]
[16, 107, 0, 4, 4, 7]
[5, 10, 0, 4, 2, 14]
[41, 434, 1, 4, 4, 7]
[9, 34, 0, 2, 2, 7]
[5, 9, 0, 2, 1, 6]
[6, 15, 0, 4, 3, 7]
[2, 3, 0, 3, 0, 10]
[3, 5, 0, 3, 0, 29]
[2, 3, 0, 3, 0, 3]
[5, 7, 2, 3, 2, 10]
[9, 23, 2, 3, 3, 6]
[9, 37, 2, 3, 2, 7]
[7, 27, 0, 3, 2, 8]
[4, 4, 4, 4, 2, 10]
[4, 9, 0, 2, 1, 5]
[12, 43, 2, 4, 4, 16]
[5, 11, 1, 2, 2, 8]
[1, 1, 0, 1, 0, 5]
[13, 30, 0, 13, 4, 14]
[4, 6, 0, 4, 1, 3]
[4, 6, 0, 4, 1, 3]
[3, 5, 0, 3, 0, 9]
[5, 7, 2, 3, 2, 7]
[4, 6, 0, 4, 1, 35]
[5, 7, 2, 3, 2, 7]
[3, 6, 0, 2, 0, 31]
[4, 6, 0, 4, 1, 20]
[5, 11, 0, 2, 1, 18]
[3, 5, 0, 3, 0, 4]
[3, 5, 0, 3, 0, 9]
[7, 20, 0, 5, 2, 10]
[2, 3, 0, 3, 0, 15]
[7, 26, 0, 3, 2, 24]
[3, 5, 0, 3, 0, 9]
[23, 187, 0, 4, 3, 23]
[2, 3, 0, 3, 0, 5]
[37, 409, 0, 4, 4, 21]
[10, 25, 1, 4, 2, 33]
[4, 6, 0, 4, 1, 34]
[29, 214, 0, 4, 3, 20]
[5, 15, 0, 2, 1, 17]
[7, 19, 0, 5, 2, 35]
[42, 43, 24, 82, 34, 26]
[14, 44, 0, 4, 2, 3]
[32, 219, 1, 5, 2, 9]
[7, 13, 3, 4, 4, 12]
[8, 21, 2, 4, 4, 17]
[5, 7, 2, 3, 2, 6]
[83, 748, 18, 26, 10, 12]
[5, 7, 2, 3, 2, 8]
[5, 7, 2, 3, 2, 3]
[30, 202, 0, 5, 2, 7]
[7, 13, 6, 4, 4, 9]
[7, 13, 6, 4, 4, 16]
[9, 21, 3, 3, 3, 9]
[49, 241, 8, 39, 18, 17]
[9, 21, 2, 3, 3, 6]
[7, 13, 6, 4, 4, 9]
[10, 31, 1, 4, 2, 5]
[16, 76, 1, 5, 3, 7]
[9, 21, 10, 5, 6, 13]
[19, 159, 0, 4, 4, 10]
[11, 34, 1, 4, 2, 5]
[32, 463, 19, 4, 7, 7]
[2, 2, 0, 1, 0, 5]
[5, 7, 2, 3, 2, 17]
[13, 57, 0, 4, 2, 7]
[12, 47, 1, 4, 3, 8]
[5, 6, 0, 4, 1, 9]
[5, 6, 0, 4, 1, 7]
[7, 13, 1, 3, 2, 8]
[5, 9, 0, 4, 1, 8]
[3, 5, 0, 3, 0, 2]
[10, 31, 3, 3, 3, 6]
[8, 25, 2, 3, 2, 9]
[3, 3, 0, 3, 0, 3]
[2, 4, 0, 1, 0, 4]
[3, 5, 0, 3, 0, 4]
[11, 69, 2, 3, 3, 25]
[12, 71, 0, 3, 3, 14]
[7, 20, 0, 3, 2, 5]
[6, 11, 0, 4, 1, 12]
[3, 5, 0, 3, 0, 15]
[5, 7, 0, 10, 0, 5]
[6, 11, 0, 4, 1, 5]
[6, 11, 0, 4, 1, 12]
[5, 8, 0, 4, 1, 11]
[5, 8, 0, 4, 1, 11]
[13, 49, 0, 5, 2, 15]
[2, 4, 0, 1, 0, 30]
[6, 16, 0, 3, 2, 18]
[2, 3, 0, 3, 0, 7]
[3, 5, 0, 3, 0, 10]
[5, 9, 0, 4, 1, 9]
[3, 5, 0, 3, 0, 10]
[2, 4, 0, 1, 0, 12]
[16, 71, 2, 4, 4, 11]
[2, 4, 0, 1, 0, 10]
[2, 3, 0, 3, 0, 3]
[2, 4, 0, 1, 0, 11]
[2, 3, 0, 3, 0, 13]
[2, 2, 0, 1, 0, 18]
